"corpus","preloaded/bnc2_tt31"
"subcorpus","-"
Item,Frequency
"picturesque",604
"romanesque",388
"grotesque",290
"statuesque",36
"burlesque",34
"arabesque",32
"picaresque",22
"pre-romanesque",12
"lévesque",7
"neo-romanesque",7
"kafkaesque",6
"pythonesque",5
"cézannesque",5
"carnivalesque",5
"batty-esque",3
"chaplinesque",3
"jaggeresque",3
"presque",3
"daliesque",3
"dantesque",3
"plateresque",3
"pseudo-romanesque",3
"esque",3
"martin-esque",2
"rubenesque",2
"abba-esque",2
"rousseauesque",2
"bradmanesque",2
"marlowesque",2
"alpinesque",2
"barrie-esque",2
"hardyesque",2
"pittoresque",2
"humoresque",2
"picassoesque",2
"hopperesque",2
"stalinesque",2
"gibsonesque",2
"cartoonesque",2
"whitmanesque",2
"kennedyesque",2
"brittenesque",2
"hallesque",1
"chandleresque",1
"chamberlainesque",1
"hockneyesque",1
"chapmanesque",1
"boucheresque",1
"benthamesque",1
"ionescoesque",1
"churrigueresque",1
"chopinesque",1
"claptonesque",1
"clownesque",1
"bowiesque",1
"boudouresque",1
"audenesque",1
"rambo-esque",1
"resque",1
"hippyesque",1
"hispano-moresque",1
"kahloesque",1
"hoddlesque",1
"hooliganesque",1
"schumannesque",1
"semi-romanesque",1
"shaunesque",1
"jacko-esque",1
"stallone-esque",1
"jam-esque",1
"jarry-esque",1
"jesus-esque",1
"kafka-esque",1
"ullmanesque",1
"unwin-esque",1
"karajeanesque",1
"karajanesque",1
"corcesque",1
"comptonesque",1
"whartonesque",1
"whittingtonesque",1
"keatonesque",1
"woodstockesque",1
"lautreamontesque",1
"kylie-esque",1
"daleyesque",1
"balkanesque",1
"lennon-esque",1
"lennonesque",1
"dali-esque",1
"lowden-esque",1
"levesque",1
"brueghelesque",1
"macmillanesque",1
"danikenesque",1
"mainframe-esque",1
"bunyanesque",1
"barbaresque",1
"almondesque",1
"aeroplanesque",1
"mccartney-esque",1
"michelangelesque",1
"metallica-esque",1
"diceyesque",1
"mock-romanesque",1
"mintonesque",1
"moresque",1
"morrisonesque",1
"dury-esque",1
"drydenesque",1
"dianesque",1
"narnia-esque",1
"mortonesque",1
"nico-esque",1
"eno-esque",1
"ealingesque",1
"opalesque",1
"nurglesque",1
"orionesque",1
"ortonesque",1
"fieldingesque",1
"camus-esque",1
"cale-esque",1
"byzantine-romanesque",1
"rembrandtesque",1
"rivieraesque",1
"robinsonesque",1
"rockesque",1
"rodinesque",1
"peale-esque",1
"flomanesque",1
"rubensesque",1
"saganesque",1
"sassettesque",1
"satriani-esque",1
"fortesque",1
"caravaggesque",1
"scriabinesque",1
"shamanesque",1
"skinneresque",1
"smetanesque",1
"snoozesque",1
"pixies-esque",1
"gardenesque",1
"pointy-esque",1
"gauguinesque",1
"carnegie-esque",1
"beechingesque",1
"strachanesque",1
"strachesque",1
"stuartesque",1
"sub-fellini-esque",1
"thurberesque",1
"titianesque",1
"tudoresque",1
"unpicturesque",1
"unwinesque",1
"veblenesque",1
"virgilian-dantesque",1
"waits-esque",1
"waters-esque",1
"pop-esque",1
"procteresque",1
"genetesque",1
"winderesque",1
"raleigh-esque",1
"rafinesque",1
"grogan-esque",1
"bellinesque",1
"applesque",1
"adventurous-picaresque",1
"abbaesque",1
