"corpus","preloaded/bnc2_tt31"
"subcorpus","-"
Item,Frequency
"british",35529
"english",22945
"wish",11449
"fish",10666
"scottish",9933
"irish",5853
"establish",5215
"finish",4408
"parish",3911
"spanish",3517
"rubbish",2203
"jewish",2193
"polish",2028
"distinguish",1968
"dish",1586
"turkish",1360
"publish",1309
"foolish",1095
"swedish",990
"danish",880
"flourish",663
"selfish",657
"abolish",554
"kurdish",549
"anguish",527
"stylish",500
"punish",467
"diminish",462
"relish",461
"lavish",458
"childish",448
"cornish",433
"mcleish",371
"varnish",349
"goldfish",347
"vanish",311
"finnish",280
"frankish",276
"accomplish",257
"hamish",246
"dalglish",246
"sluggish",244
"catfish",231
"flemish",223
"relinquish",219
"furnish",219
"garnish",207
"demolish",199
"reddish",195
"anglo-irish",193
"kentish",190
"re-establish",182
"feverish",162
"perish",162
"boyish",159
"shellfish",146
"cherish",142
"banish",142
"moorish",138
"brackish",131
"garish",127
"trish",124
"swish",115
"skirmish",107
"beamish",106
"bullish",101
"greenish",98
"cavendish",97
"starfish",97
"outlandish",97
"replenish",97
"extinguish",94
"swordfish",91
"nourish",90
"churlish",89
"fetish",89
"yellowish",86
"girlish",83
"jellyfish",83
"sheepish",82
"hellish",82
"unselfish",80
"callanish",78
"devilish",75
"yiddish",75
"longish",75
"tundrish",71
"romano-british",70
"amateurish",69
"smallish",68
"brownish",66
"brutish",66
"whitish",66
"greyish",65
"refurbish",65
"blemish",64
"squeamish",62
"standish",62
"nightmarish",61
"snobbish",60
"pinkish",58
"youngish",57
"bluish",55
"devenish",54
"hashish",53
"ish",53
"popish",52
"purplish",51
"horseradish",51
"angelfish",50
"fiendish",47
"bookish",45
"clownfish",45
"ghoulish",45
"slavish",44
"gibberish",43
"blackish",43
"embellish",43
"pictish",40
"biggish",40
"crayfish",40
"non-english",39
"rakish",37
"largish",37
"sino-british",37
"roguish",36
"newish",36
"peevish",36
"boorish",36
"lungfish",35
"impish",34
"tarnish",34
"butterflyfish",32
"prudish",32
"naish",32
"wolfish",32
"netherlandish",31
"anti-british",31
"languish",30
"anti-jewish",30
"babyish",30
"ticklish",28
"dervish",28
"silverfish",28
"priggish",28
"anglo-scottish",28
"shortish",28
"monkfish",27
"dogfish",27
"raffish",27
"un-english",27
"peckish",27
"modish",27
"parrish",26
"lappish",26
"freakish",26
"astonish",25
"mctavish",25
"non-british",25
"carinish",25
"bearish",24
"bonefish",24
"lionfish",24
"zebrafish",24
"skittish",23
"radish",23
"coalfish",22
"non-jewish",22
"minginish",21
"reestablish",21
"sharpish",21
"loutish",20
"stand-offish",20
"rhenish",20
"flatfish",20
"impoverish",20
"shrewish",20
"glassfish",19
"whiggish",19
"mawkish",19
"admonish",19
"lowish",18
"dryish",18
"wimpish",18
"waspish",18
"japlish",17
"squarish",17
"ex-british",17
"clownish",17
"ballachulish",17
"paish",16
"killifish",16
"puckish",16
"leftish",16
"foppish",16
"fortyish",16
"gaumont-british",16
"dawlish",15
"franco-british",15
"cuttlefish",15
"sailfish",15
"darkish",14
"anti-polish",14
"mannish",14
"elvish",14
"mellish",14
"owlish",14
"tigerish",14
"hawkish",14
"burnish",13
"gish",13
"coquettish",13
"candlish",13
"lumpish",13
"flattish",13
"un-british",13
"treshnish",13
"thinnish",12
"tallish",12
"sweetish",12
"monkish",12
"pro-english",12
"photofinish",12
"pro-british",12
"vanquish",12
"thickish",11
"dandyish",11
"fairish",11
"sunfish",11
"standoffish",11
"all-british",11
"oldish",11
"cultish",11
"huish",10
"schoolboyish",10
"anglo-jewish",10
"mactavish",10
"thuggish",10
"oafish",10
"ravish",10
"gaulish",10
"donnish",10
"brandish",10
"harish",10
"hatchetfish",10
"kittenish",9
"satish",9
"hewish",9
"blimpish",9
"laddish",9
"scarinish",9
"dwarfish",9
"british-irish",9
"franco-spanish",9
"tish",9
"crawfish",9
"refinish",9
"thirtyish",9
"fiveish",9
"german-polish",9
"tomboyish",8
"goodish",8
"dampish",8
"anti-irish",8
"death-wish",8
"oneish",8
"photo-finish",8
"poorish",8
"proto-fish",8
"half-english",8
"triggerfish",8
"fourish",8
"plumpish",8
"smartish",8
"clannish",8
"puppyish",8
"gerrish",8
"anglo-spanish",8
"anish",8
"nomish",8
"knavish",7
"mulish",7
"cammish",7
"batfish",7
"coltish",7
"hagfish",7
"faddish",7
"franco-scottish",7
"hiberno-english",7
"amish",7
"wildish",7
"german-jewish",7
"paddlefish",7
"girish",7
"roundish",7
"squish",7
"french-english",7
"republish",7
"anglo-swedish",7
"actorish",6
"anti-english",6
"mcnish",6
"jagdish",6
"latish",6
"dullish",6
"lumpfish",6
"five-ish",6
"macleish",6
"eilish",6
"arnish",6
"hippyish",6
"vampish",6
"swinish",6
"russo-turkish",6
"cononish",6
"sluttish",6
"stiffish",6
"tennish",5
"danzig-polish",5
"stonefish",5
"deepish",5
"kewish",5
"anti-turkish",5
"knifefish",5
"boxfish",5
"brightish",5
"elevenish",5
"brundish",5
"melhuish",5
"mish",5
"ex-irish",5
"moreish",5
"butterfish",5
"pre-british",5
"pondfish",5
"nish",5
"non-spanish",5
"norrish",5
"twittish",5
"pettish",5
"stremnish",5
"warmish",5
"schoolgirlish",5
"whitefish",5
"whish",5
"waggish",5
"romish",5
"greshornish",5
"rutlish",5
"spinsterish",5
"sottish",5
"damselfish",4
"blockish",4
"surgeonfish",4
"blueish",4
"kadish",4
"anti-spanish",4
"kish",4
"knife-fish",4
"dragonish",4
"all-scottish",4
"earlyish",4
"splish",4
"fenderish",4
"nine-ish",4
"fiftyish",4
"uppish",4
"parrotfish",4
"pencilfish",4
"chhish",4
"greek-turkish",4
"pipefish",4
"plornish",4
"anglo-frankish",4
"sourish",4
"slowish",4
"pro-kurdish",4
"womanish",4
"unenglish",4
"tuna-fish",4
"tourish",4
"threeish",4
"gourvish",4
"runtish",4
"straightish",4
"stoutish",4
"softish",4
"soap-dish",4
"scots-irish",4
"sixish",4
"highish",3
"dalgleish",3
"anti-horseradish",3
"deathwish",3
"jelly-fish",3
"anti-scottish",3
"kingfish",3
"doltish",3
"letzeburgish",3
"lightish",3
"liverish",3
"marish",3
"mchamish",3
"mcneish",3
"melluish",3
"buffish",3
"buffoonish",3
"ex-scottish",3
"aturkish",3
"farish",3
"mweenish",3
"nail-varnish",3
"cablish",3
"caddish",3
"filet-o-fish",3
"cleanish",3
"non-kurdish",3
"wilfish",3
"non-scottish",3
"aylish",3
"non-turkish",3
"clockish",3
"one-ish",3
"razorfish",3
"gingerish",3
"verbish",3
"over-lavish",3
"fogeyish",3
"franco-flemish",3
"squattish",3
"salish",3
"french-british",3
"polish-jewish",3
"snappish",3
"frumpish",3
"yobbish",3
"pro-turkish",3
"barish",3
"widish",3
"gangsterish",3
"pufferfish",3
"whorish",3
"shoe-polish",3
"quietish",3
"us-turkish",3
"twoish",3
"trudernish",3
"rockfish",3
"roughish",3
"rumblefish",3
"russian-jewish",3
"satin-finish",3
"scots-english",3
"scout-masterish",3
"bish",3
"shish",3
"shell-fish",3
"hardenhuish",3
"hawkfish",3
"haydnish",2
"heavyish",2
"heathenish",2
"daglish",2
"daish",2
"high-polish",2
"dalgish",2
"blankish",2
"hish",2
"alemannish",2
"horse-radish",2
"hoydenish",2
"iffyish",2
"darrawish",2
"inglish",2
"darwish",2
"iraqi-kurdish",2
"iraqi-turkish",2
"deadish",2
"blondish",2
"deep-dish",2
"82-ish",2
"japanese-english",2
"jish",2
"kaddish",2
"kamilish",2
"abish",2
"krish",2
"kulish",2
"box-fish",2
"labourish",2
"lancefish",2
"doveish",2
"lettish",2
"levenish",2
"brattish",2
"duirinish",2
"breamish",2
"lolita-ish",2
"dwarvish",2
"numbfish",2
"m''leish",2
"eeenglish",2
"macfish",2
"eeikish",2
"machrihanish",2
"eightish",2
"manish",2
"mauvish",2
"mccomish",2
"elfish",2
"buckish",2
"ethnic-turkish",2
"ashish",2
"mishnish",2
"moalrish",2
"hiberno-british",2
"modhish",2
"more-ish",2
"nailsish",2
"fattish",2
"nebbish",2
"neish",2
"ffurnish",2
"nineish",2
"ninetyish",2
"filefish",2
"fineish",2
"finger-fish",2
"fingerfish",2
"austro-turkish",2
"novelettish",2
"nurdish",2
"cardinalfish",2
"ogreish",2
"cartoonish",2
"flagfish",2
"catholic-irish",2
"flish",2
"orcish",2
"baddish",2
"babylonish",2
"outfish",2
"over-selfish",2
"flying-fish",2
"anglerfish",2
"pan-scottish",2
"forty-ish",2
"adish",2
"phish",2
"pewterish",2
"franco-polish",2
"pipe-fish",2
"pish",2
"pixieish",2
"corish",2
"plateau-ish",2
"soonish",2
"french-polish",2
"porcupinefish",2
"prankish",2
"pro-irish",2
"pro-jewish",2
"yish",2
"young-ish",2
"yellowfish",2
"gaelic-irish",2
"garfish",2
"punkish",2
"whiteparish",2
"weakish",2
"waternish",2
"quickish",2
"vapourish",2
"voguish",2
"genevish",2
"german-british",2
"unpolish",2
"volkish",2
"unstylish",2
"unish",2
"unfish",2
"twentyish",2
"re-finish",2
"codfish",2
"re-furbish",2
"tunafish",2
"refurnish",2
"u2ish",2
"tundish",2
"trotternish",2
"trampish",2
"rightish",2
"goatish",2
"thirteenish",2
"roobish",2
"rossinish",2
"trollish",2
"ten-ish",2
"strongish",2
"griminish",2
"stalefish",2
"squirrelfish",2
"anglo-turkish",2
"squamish",2
"spookish",2
"sponish",2
"spadefish",2
"soviet-turkish",2
"soldierfish",2
"big-fish",2
"countryish",2
"schoolmarmish",2
"schoolmasterish",2
"half-ish",2
"steepish",2
"slemish",2
"half-jewish",2
"crankish",2
"seafish",2
"hamnish",2
"semi-popish",2
"skipnish",2
"shylockish",2
"skitswish",2
"billfish",2
"shirish",2
"waspfish",2
"ailish",2
"sheat-fish",2
"sharkish",2
"shannish",2
"headache-ish",1
"cuttle-fish",1
"heepish",1
"hemish",1
"czechoslovakian-english",1
"blandish",1
"high-spanish",1
"hispano-flemish",1
"anti-danish",1
"al-jaish",1
"holdrish",1
"honey-whitish",1
"hitlerish",1
"hoskynsish",1
"houndsfish",1
"hottish",1
"damsel-fish",1
"damish",1
"hp-ish",1
"housewifish",1
"hunt-the-fish",1
"hunnish",1
"icefish",1
"hynish",1
"blindish",1
"blindfish",1
"blewish",1
"7-ish",1
"iltutmish",1
"inter-irish",1
"instructor-cum-british",1
"in-parish",1
"darvish",1
"iranian-turkish",1
"interspish",1
"deanish",1
"ironish",1
"irish-scottish",1
"irish-british",1
"bluefish",1
"blue-reddish",1
"italian-british",1
"israelitish",1
"israel-british",1
"italian-irish",1
"italian-english",1
"italo-spanish",1
"italian-spanish",1
"deeplish",1
"decentish",1
"iwish",1
"japan-scottish",1
"degaslish",1
"jargonish",1
"jawfish",1
"bone-selfish",1
"bmc-british",1
"anti-popish",1
"all-english",1
"25-ish",1
"jet-settish",1
"johnish",1
"john-majorish",1
"jungle-skirmish",1
"junkish",1
"dilettantish",1
"dickish",1
"dewlish",1
"kailish",1
"keane-ish",1
"kamlish",1
"kennish",1
"dirtdish",1
"dinosaurish",1
"dinkish",1
"boon-ish",1
"kiddish",1
"disestablish",1
"do-goodish",1
"bouffantish",1
"boston-irish",1
"kossoff-ish",1
"krautish",1
"doggish",1
"bowlfish",1
"kurish",1
"kurdhish",1
"antigonish",1
"all-polish",1
"all-irish",1
"l-ish",1
"lachish",1
"dorigish",1
"doogfish",1
"ladyish",1
"langrish",1
"dovish",1
"boy-scoutish",1
"large-ish",1
"largeish",1
"dragonfish",1
"doylish",1
"lateish",1
"drake-ish",1
"apish",1
"antique-finish",1
"liberal-irish",1
"drentish",1
"lickrish",1
"lickorish",1
"liebish",1
"drug-baronish",1
"dreadnoughtish",1
"lionish",1
"lithuanian-polish",1
"liquorish",1
"duirnish",1
"liveish",1
"londonish",1
"dutch-english",1
"breetish",1
"arab-jewish",1
"applobish",1
"am-ish",1
"30ish",1
"1968-ish",1
"loudish",1
"long-ish",1
"low-ish",1
"lowry-ish",1
"early-ish",1
"brieish",1
"easy-ish",1
"m''tavish",1
"eb3-ish",1
"briskish",1
"macenglish",1
"machrahanish",1
"macaulayish",1
"ardminish",1
"ardmaleish",1
"mackintosh-ish",1
"egg-dish",1
"eenglish",1
"macvinish",1
"mahogany-finish",1
"eggish",1
"maizlish",1
"majorish",1
"eight-ish",1
"brittlefish",1
"ardnish",1
"maltbyish",1
"mandarinfish",1
"eighteenish",1
"manhattan-english",1
"manglish",1
"brockdish",1
"mauve-ish",1
"electrofish",1
"brotherish",1
"ardtornish",1
"america-english",1
"aca-english",1
"mawish",1
"mayall-ish",1
"eleven-ish",1
"elegant-ish",1
"mccartneyish",1
"brritish",1
"arish",1
"mcomish",1
"eliotish",1
"melorivicish",1
"end-of-the-worldish",1
"armeno-turkish",1
"american-british",1
"mex-spanish",1
"middle-of-the-nightish",1
"mid-flourish",1
"merigomish",1
"mildish",1
"midnightish",1
"mincefish",1
"millionish",1
"english-spanish",1
"enebish",1
"mirvish",1
"miserablish",1
"ethnic-polish",1
"mishish",1
"miss-ish",1
"ever-boyish",1
"evenish",1
"bulgarian-turkish",1
"american-dutch-british",1
"academyish",1
"340-ish",1
"mod-ish",1
"modo-english",1
"ever-so-english",1
"mongol-british",1
"mollyish",1
"monkeyish",1
"bunterish",1
"askernish",1
"monsterish",1
"moore-ish",1
"monthlyish",1
"ex-spanish",1
"mopish",1
"f-foolish",1
"burgessish",1
"american-european-british",1
"mosquitofish",1
"morrish",1
"muckish",1
"movie-buffish",1
"faivish",1
"muinish",1
"murdo-foolish",1
"mummyish",1
"fannish",1
"busy-ish",1
"nail-polish",1
"fastish",1
"narrow-ish",1
"fauve-ish",1
"neds-ish",1
"fawnish",1
"c-majorish",1
"aughlish",1
"american-irish",1
"accom-plish",1
"night-fish",1
"night-marish",1
"nicish",1
"new-ish",1
"ninish",1
"fifty-ish",1
"caish",1
"non-catfish",1
"fighting-fish",1
"austro-spanish",1
"austrian-jewish",1
"non-kentish",1
"non-selfish",1
"non-polish",1
"non-clownfish",1
"norfolkish",1
"non-swedish",1
"northernish",1
"nouveauish",1
"firebrandish",1
"caponish",1
"candyish",1
"and-polish",1
"38ish",1
"1982-ish",1
"11ish",1
"first-nightish",1
"firefish",1
"oddish",1
"oirish",1
"ochreish",1
"carchemish",1
"old-english",1
"old-mannish",1
"old-maidish",1
"ok-ish",1
"olde-english",1
"oldwomanish",1
"old-masterish",1
"fivish",1
"babyfish",1
"on-ish",1
"one-offish",1
"ollieish",1
"opera-ish",1
"oper-ish",1
"floor-polish",1
"other-worldish",1
"out-parish",1
"out-of-the-wayish",1
"orkish",1
"flyfish",1
"floorpolish",1
"cattish",1
"angel-fish",1
"owens-ish",1
"palish",1
"pale-ish",1
"pan-ish",1
"forbritish",1
"cent-wise-dollar-foolish",1
"celtic-scottish",1
"pan-turkish",1
"pantherish",1
"forever-ish",1
"parmigiano-jewish",1
"forty-fiveish",1
"cerish",1
"part-english",1
"part-kentish",1
"fortyfivish",1
"chafing-dish",1
"badgerish",1
"badgaduish",1
"paulish",1
"partish",1
"pedagoguish",1
"four-fish",1
"petfish",1
"four-ish",1
"cheapish",1
"franco-irish",1
"pidgin-english",1
"pictish-scottish",1
"child-whorish",1
"bakhshaish",1
"baggyish",1
"anglo-british",1
"40ish",1
"piggish",1
"pink-ish",1
"piedish",1
"pinkish-greenish",1
"franco-turkish",1
"chinese-british",1
"plain-english",1
"fraser-english",1
"plainish",1
"chish",1
"platyfish",1
"freeish",1
"pogue-ish",1
"chopunnish",1
"bakshaish",1
"bakhshish",1
"pollyannaish",1
"french-irish",1
"posish",1
"french-spanish",1
"chunky-ish",1
"chubbyish",1
"potterish",1
"post-modernish",1
"prattish",1
"friendly-ish",1
"fried-fish",1
"pre-english",1
"frogfish",1
"pre-turkish",1
"prig-gish",1
"froggish",1
"clankish",1
"balhamilish",1
"balfreish",1
"anglo-danish",1
"fuelish",1
"pro-polish",1
"pro-scottish",1
"fumish",1
"fullish",1
"clapton-ish",1
"pro-swedish",1
"pro-spanish",1
"futba-english",1
"prunish",1
